fecha_hora,latitud,longitud,DEM_mean,slope_mean,aspect_mean,nhd_mean,geo,cober,pre_anual,fecha,mes,pre_mensual,cp1,cp3,cp5,cp7,cp10,lp15_cp1,lp20_cp1,lp30_cp1,lp40_cp1,lp50_cp1,lp60_cp1,lp90_cp1,lp15_cp3,lp20_cp3,lp30_cp3,lp40_cp3,lp50_cp3,lp60_cp3,lp90_cp3,lp15_cp5,lp20_cp5,lp30_cp5,lp40_cp5,lp50_cp5,lp60_cp5,lp90_cp5,lp15_cp7,lp20_cp7,lp30_cp7,lp40_cp7,lp50_cp7,lp60_cp7,lp90_cp7,lp15_cp10,lp20_cp10,lp30_cp10,lp40_cp10,lp50_cp10,lp60_cp10,lp90_cp10,si_no
2017-10-07,6.1800816646468855,-75.66585362663619,2072.825520833333,32.45013427734375,226.1234334309896,0.6207259098688761,14.0,6.0,2044.8639,2017-10-07,10,250.00902,0.38167727,19.72665456,47.378771930000006,83.71231293,122.33552251,174.50304756999998,214.37361525,390.246021423,517.783742313,584.110738296,666.4526384860001,841.491894087,161.47224345,247.398232923,391.96664125,529.53956227,580.448358423,650.865233663,827.5043998540001,152.89140609999998,271.241808837,373.22180395,507.53414817,555.3729728430001,645.116942113,807.9039907079999,171.982585033,249.21460726,354.2627066,476.533052793,561.422380923,623.118154963,776.6168053780001,206.959985057,256.92014313000004,385.71112909,475.250554213,546.741792953,611.031558549,800.8443609219999,0
2018-09-18,6.294940551933957,-75.66252701333659,2231.806640625,34.9378662109375,190.22542898995536,0.356196641921997,8.0,6.0,1934.6694,2018-09-18,9,214.62915,0.0,44.29308172,52.44093255600001,54.62162484,67.251366976,154.037393032,162.553806962,206.436662372,257.966824432,354.956819096,432.311611556,578.590210556,112.994104622,149.330735342,163.660583832,215.190745892,333.508001736,391.921017076,538.099450986,111.274020682,147.059874492,200.333778402,254.771558542,339.534769526,388.78606213600006,529.975462506,128.257211122,145.008334832,203.345199592,280.359073572,364.762537556,385.444223576,550.752539046,132.729342896,139.187505696,192.356506556,284.28100132,364.40490272,378.84715511,559.59070501,0
2018-08-17,6.240176810445295,-75.55517420818596,1561.0060369318182,7.507543390447443,42.46537087180398,0.272280367937955,9.0,7.0,1968.7611,2018-08-17,8,155.42955,0.0,22.2924758,29.6106247,29.6106247,29.6106247,106.42570146,147.33017194,192.73037737,201.01056629,265.04807314,321.12286324,555.404488411,110.28773784999998,148.16187783,176.82697048999998,183.04303349,254.50442614,302.38523422500003,547.985901217,111.13389499,147.96579063,166.06796128999997,181.33341129,281.3664806,309.789866045,572.462871387,136.92746488,158.61253302999998,169.42563109,217.38355589,290.88238217,323.908206815,612.2673907999999,147.96579063,161.10737453,171.12830314,228.11026674,290.88238217,323.908206815,658.60629882,0
2018-08-25,6.280643783097541,-75.68903368105804,2960.208984375,46.96990411931818,310.03322531960225,0.3360367254777388,5.0,1.0,1934.6694,2018-08-25,8,148.93948,6.392882589999999,9.96566199,9.96566199,17.506162789999998,19.59201512,64.44157177400001,109.396302365,214.051729475,270.151834574,274.876174234,354.762452054,603.7698284200001,59.049424144,134.338073555,239.750407764,264.62144027399995,280.55191080400004,390.916538227,597.64803628,86.41375436499999,154.063470715,249.242521254,267.712314174,305.043009984,398.782100937,615.9341911399999,124.174640535,157.580692245,247.714203014,262.519906564,308.569135624,392.301862937,622.90207753,146.016263885,199.470189445,256.341430854,262.005114134,339.80916283399995,394.144615257,660.6183432,0
2018-11-29,6.223979931780688,-75.66459564894913,2108.723557692308,23.088482196514423,146.27347506009616,0.522030390225924,8.0,0.0,2009.2482,2018-11-29,11,201.73386,39.12925283,46.849323666,137.97520430999998,187.46646769,234.404304475,244.382214315,274.232854585,398.249430505,471.604748875,591.287726532,775.5001945893,1164.713902819,244.768700715,271.954063745,391.698425905,505.375986875,599.931611542,810.0007394593,1164.990590826,168.187634145,207.629968865,293.547593765,412.872536115,546.012219702,751.70005285,1104.364474066,123.95822036,201.736662455,265.088132535,369.200919069,588.001263393,708.54370958,1064.257956796,111.211557825,201.929867661,262.788401591,360.619071619,568.9431897840001,692.165592587,1031.948773703,0
2016-06-19,6.236571287740015,-75.63788694388859,1945.2623697916667,15.200023651123049,173.58321126302084,0.9196112950642904,8.0,1.0,1916.7314,2016-06-19,6,176.7423,17.04004638,17.07961879,44.070233298,44.723936558000005,57.371860078,164.09790111499998,237.787511785,284.779250281,392.002613654,541.3119556940001,620.3886921210001,865.248601405,169.799026255,249.013794267,299.505622851,436.861404614,572.254047534,620.297321085,869.020584655,205.097789295,261.431781261,280.93416820100003,465.67040123400005,565.818555284,600.6997363849999,857.276422149,221.620666865,261.431781261,280.980897874,498.338282364,596.732502124,601.945201807,871.0265041989999,248.932415791,248.932415791,329.050508634,500.823109844,587.3173498609999,631.251703584,940.786312599,0
2017-12-29,6.193750886406943,-75.53782617329689,2303.3146033653848,31.806241548978367,8.86305647629958,0.0706670834467961,4.0,1.0,2034.7651,2017-12-29,12,113.74693,4.594984500000001,5.06559051,6.37325272,6.398476038,6.67306697,3.5515552748,52.1662234394,89.976294701,145.34343921599998,223.467867958,287.654745277,450.6388479220001,15.866015706000002,51.8514784174,92.149206994,167.914332569,223.458470058,299.523576978,452.917079632,37.67953846339999,54.2093692974,97.32221103,199.073395595,232.784046374,337.152758368,454.370716134,50.2215839524,56.3054202754,96.812021036,201.247761805,268.5291428,340.74716112,481.87817309,53.53350769,88.019712029,111.621519914,221.014363236,278.369507385,351.968423046,512.5938011074,0
2018-10-20,6.303235149836162,-75.58473317188627,1883.1986607142856,41.232177734375,135.99025181361608,0.8418594087873187,9.0,5.0,1745.7523,2018-10-20,10,209.3855,3.7326448,20.705739290000004,27.092826755,27.12357049,56.815503505,131.35837581200002,187.606425742,305.303134252,384.286356822,475.450396652,523.798686932,708.874915242,125.35434311699998,229.029615357,302.628496247,400.636947547,462.073884437,520.958972157,696.343793797,134.567979767,237.451858397,340.94683865700006,430.97428042700005,489.964595557,513.228242997,693.8581557370001,171.637235917,237.343407917,352.931818707,450.793013537,496.9674105270001,536.164530787,698.829901557,207.620731167,242.372490247,328.629642577,421.877221847,470.569201827,510.689460697,673.2206682670001,0
2017-12-11,6.277743196791,-75.61696727374213,1755.8049879807693,32.04582801231971,190.62255859375,0.5952008320735052,12.0,1.0,1864.2473,2017-12-11,12,93.477066,16.3471811,76.18071454,76.18071454,82.79645914,95.403630548,82.727087141,98.90839737,189.615976331,252.837473552,351.42984281400004,373.401756069,652.1534567460001,39.189864615,71.956491555,140.640821485,201.879610692,300.746122654,322.387577033,624.23194003,43.418381715,97.322250755,140.640821485,219.529673442,300.74612265400003,326.308334733,653.2050729099999,41.983961995,124.437631065,149.038797772,231.095386639,295.448082774,329.823582873,667.2055262670001,73.803964375,110.436842234,155.587167082,258.528654744,294.389839069,337.98192171,660.994827707,0
2017-11-28,6.282881208491533,-75.66417778716428,2330.0622209821427,42.62838745117188,28.729679652622767,0.7542834963117327,8.0,3.0,1934.6694,2017-11-28,11,192.9231,0.70826857,2.05363014,4.285728584,13.5319248,45.08112866,106.499010385,133.717621872,208.573048659,286.72760195,315.62620163,407.152235512,696.002905436,107.802646782,132.060511002,216.59361905000003,285.02658811,314.711491053,407.366793672,743.077153846,129.741627328,162.994364768,224.225963209,292.291003156,317.063634082,411.793717038,750.400371532,121.955993648,159.429970028,260.211939949,287.966163566,321.744279078,438.233555533,759.924987375,125.318624538,141.346519565,245.118749436,271.522028576,365.543382998,434.397861603,740.9196859130001,0
