fecha_no,latitud,longitud,geometry,cp1,cp3,cp5,cp7,cp10,lp15_cp1,lp20_cp1,lp30_cp1,lp40_cp1,lp50_cp1,lp60_cp1,lp90_cp1,lp15_cp3,lp20_cp3,lp30_cp3,lp40_cp3,lp50_cp3,lp60_cp3,lp90_cp3,lp15_cp5,lp20_cp5,lp30_cp5,lp40_cp5,lp50_cp5,lp60_cp5,lp90_cp5,lp15_cp7,lp20_cp7,lp30_cp7,lp40_cp7,lp50_cp7,lp60_cp7,lp90_cp7,lp15_cp10,lp20_cp10,lp30_cp10,lp40_cp10,lp50_cp10,lp60_cp10,lp90_cp10
2021-08-14,6.255678609820873,-75.52653339977954,POINT (-75.52653339977954 6.255678609820873),18.248439152,48.500998708,79.685983968,92.03484022800001,92.03484022800001,97.19872815,150.41899904000002,218.10177185999999,258.6172632,339.13015852,448.61852609,864.8138669326,98.77754049,120.94787090999999,193.21458153,229.14613507,332.4553677,432.691065,845.7542726825999,83.77940937000001,89.14327327,178.90127776,197.34153743000002,323.83324188999995,441.92400327,820.9168693546001,76.39599013,90.422124741,181.55542118099999,207.54683488999999,319.98781205,499.00160158999995,828.6375888746002,76.39599013,144.3870910412,183.64301489,227.347952077,345.91165441,522.38433388,867.171501076
2023-03-18,6.180779414736695,-75.56845542343164,POINT (-75.56845542343164 6.180779414736695),1.6252239,24.82411915,42.16815582,71.406614655,85.57083431800001,134.75483160800002,137.645198868,158.160361228,167.18576194800002,175.513340648,217.73517063800003,369.316659933,114.117279059,115.219226059,134.973812329,152.097581598,153.075846404,215.313879348,346.146470843,97.69610374799998,97.69610374799998,120.151884228,135.56424552800001,137.684190328,206.23910462799998,332.96142943300003,76.59086168900001,86.349387949,99.31289955400001,113.38389863399999,115.49318105399999,198.58818955300003,311.291377108,53.48272465,73.31512806,83.02328773,91.35086643000001,132.90673102,209.37296200500003,304.044950365
2021-05-05,6.283964206894094,-75.56437946011539,POINT (-75.56437946011539 6.283964206894094),16.8283394,69.20024844000001,85.55438452000001,102.751564398,120.996623157,113.683977083,149.10252686500002,215.43571613300003,263.286603613,477.5497790555,556.4058894065,655.027998045,59.911722863,95.731569275,185.904261335,240.966090683,430.7779469995,503.5790655345,604.993317615,82.1538625,94.45782499,172.87404556500002,262.632448365,447.07588968950006,500.2998617145,591.963101845,60.54455811,87.03665658900002,156.143413935,298.805330455,429.5549376235,485.3302237025,572.415795955,55.87899524000001,105.68153337899999,153.989216895,343.689123155,447.91414664550007,475.18422070450004,553.749241505
2021-08-14,6.309421482817223,-75.55829759105595,POINT (-75.55829759105595 6.309421482817223),17.6418861,47.929683139999995,74.64286198,86.81040023,86.81040023,96.10498100000001,162.167164157,230.446668574,288.421493124,400.69408919399996,521.291594445,933.85306173,94.28342819000001,130.964870657,205.835833374,257.219199624,396.848756591,500.615395153,913.131510473,95.536580607,104.259677487,203.59900900399998,230.51400645399997,402.516858361,517.9998645979999,891.642729853,92.76524867699999,105.819766977,214.172067244,238.24520177399998,404.46199969099996,570.074784783,898.419839103,92.765248677,161.044753094,216.680913084,278.753532401,430.78324525100004,611.7689815030001,913.8512928330001
2023-05-26,6.252423597404778,-75.50071834663179,POINT (-75.50071834663179 6.252423597404778),10.1759857,23.715395459999996,55.531971,74.63068459,104.99669139,108.18680155,108.18680155,151.77440817000002,206.465710872,213.424688129,242.761456669,409.16806351300005,97.91914545,97.91914545,147.5355285,197.016918522,205.509761529,239.319927369,398.90040741300004,62.83081625,62.830816250000005,126.89636503999999,161.937548016,178.342719939,208.54202213899998,366.514294033,43.732102659999995,54.49454308999999,117.63620671999999,143.370873232,159.535579949,189.70970569899998,357.49528920299997,13.36609586,50.011908649999995,109.986184622,118.60398243899999,147.672856349,173.94269314899998,337.726514973
2021-03-17,6.194944043303368,-75.557280870049,POINT (-75.557280870049 6.194944043303368),6.8256166600000014,40.08299877,73.41025485,117.618846034,158.382287364,200.898151452,213.753174162,278.978986912,301.675909912,306.061295282,323.019382012,554.88559952,181.822916452,186.131908902,255.125999362,274.086738652,290.855507112,296.85712741199995,524.409818042,146.956495832,166.668762322,224.753365132,237.99784742199998,256.22270368200003,284.32123144200006,495.06043077000004,105.834426488,157.219120938,184.541435538,194.749258644,212.901330574,253.32554194399998,456.97983812,81.696729808,121.23273713799999,149.637682208,155.031292554,172.245039244,274.768389264,426.156711976
2024-05-21,6.222650069195402,-75.50426062467595,POINT (-75.50426062467595 6.222650069195402),3.5558279,3.5558279,12.304654,44.072880139999995,60.511817359999995,102.76896371000001,139.65068531699998,219.559606328,226.4518241628,282.49920956899996,285.944551639,310.63851281399997,123.658489077,148.733667387,225.002117888,226.4518241628,282.499209569,290.744018739,310.638512814,130.10402001699998,158.625453795,218.409631618,224.9849947328,276.386255149,285.06276033899996,302.562927214,100.64540736699999,135.425799697,186.6982345628,206.33927292280003,245.69002363899997,253.155289499,271.127700664,113.04368589999999,151.89872108999998,172.5256695848,218.40261910499999,230.156341035,238.765186115,256.70237069999996
2022-09-21,6.32302178748496,-75.65472109930573,POINT (-75.65472109930573 6.32302178748496),13.064089419999998,53.18879862,85.5867273,101.71289267,122.42591537879001,163.14035744878998,215.92467849807002,327.01447489207,437.952018862,549.0957464400101,656.5251372444,882.9782596158,148.79379228879,204.13859254207,298.82365812206996,402.559362518,515.64420806501,620.9959756344,858.7485823258,129.61780564806998,218.60455466599998,283.716315766,375.116473393,514.1385944850099,595.9323755744001,849.9907221718,130.813314626,204.71624013599998,308.582610203,412.61717019401,518.15372041501,587.4553679743999,846.9187809668001,182.326781466,199.78181777599997,334.61726689299996,426.80674747122,542.74408603561,577.65940293561,891.82641547801
2022-10-14,6.240384210411515,-75.62762619732578,POINT (-75.62762619732578 6.240384210411515),4.618541469999999,10.38739017,18.107116769999998,40.57515545,50.737978106999996,78.068141377,106.615637702,235.44347572200002,296.83646047900004,373.964113956,460.096630601,743.440391151,76.816663377,121.801037742,231.17916960899998,301.676270269,375.33330125599997,470.014574451,757.2862983800001,87.738970972,131.637832152,233.063122329,311.117982999,393.78458743600004,462.294847851,768.1490316659999,88.53938059199999,135.972976732,218.77596351900002,330.902540334,376.55461637099995,444.841678716,751.003486607,99.00697081499999,183.16902799500002,240.428286012,327.844677319,403.035293834,486.087092356,746.15713301
2023-07-02,6.275750120892137,-75.4985482100727,POINT (-75.4985482100727 6.275750120892137),0.0,0.0,5.7198764,25.596343668000003,44.344782138,46.470777758,59.729505078,98.7220713367,186.35399971,250.69564201600002,255.866259796,374.68481446600003,46.470777758,61.86131397,103.065751173,215.492421713,255.866259796,265.243233046,375.14167238600004,41.061365158,69.359447328,119.25284107600001,212.857032812,250.929670036,281.005300566,401.224289026,39.18319819,59.294810749999996,121.806712996,228.682352556,234.430428006,269.786574326,393.833331544,31.606267780000003,38.714510579999995,132.958576086,207.370334086,213.118409536,253.911547214,385.761728004
