,fecha_ho_1,fecha_no,latitud,longitud,geometry,cp1,cp3,cp5,cp7,cp10,lp15_cp1,lp20_cp1,lp30_cp1,lp40_cp1,lp50_cp1,lp60_cp1,lp90_cp1,lp15_cp3,lp20_cp3,lp30_cp3,lp40_cp3,lp50_cp3,lp60_cp3,lp90_cp3,lp15_cp5,lp20_cp5,lp30_cp5,lp40_cp5,lp50_cp5,lp60_cp5,lp90_cp5,lp15_cp7,lp20_cp7,lp30_cp7,lp40_cp7,lp50_cp7,lp60_cp7,lp90_cp7,lp15_cp10,lp20_cp10,lp30_cp10,lp40_cp10,lp50_cp10,lp60_cp10,lp90_cp10,DEM_mean,slope_mean,aspect_mean,nhd_mean,geo,cober,pre_anual,fecha,mes,pre_mensual
1472,2022-11-08,2017-03-04,6.239843566999979,-75.53754177,POINT (838409.0854280407 1181984.8615665243),1.5052453,1.98713302,4.319298888,8.234443342999999,94.936250582,111.310161711,121.6238415504,131.2071566289,139.8065872529,204.551851721,241.2103052384,241.2103052384,110.9849736584,122.0394763704,135.9311939889,142.89086964990005,207.290172531,240.8820761384,240.8820761384,110.0482655404,119.7542867129,134.2738774109,170.5098790465,227.1396968424,238.3962516504,238.3962516504,116.47316615239998,124.5314780019,133.90659634489998,177.1102167112,227.4375890054,235.9836750504,235.9836750504,30.381790617600004,39.0533081581,48.2066927188,109.456721073,154.170870637,154.170870637,154.170870637,1759.0228365384614,21.05938485952524,254.89100060096155,0.6427125930786133,4.0,7.0,1969.9814,2017-03-04,3,149.07013
1473,2022-11-10,2016-04-11,6.193279581198327,-75.56553873506802,POINT (835295.3210114497 1176842.436763131),24.763113086,52.084812186,53.331757003,92.142679877,136.09644489100003,138.999532027,158.848759697,236.756874906,384.911622716,448.402603705,481.240843483,538.4498870919999,111.874620343,148.14009582199998,273.985800225,357.981277972,421.679876035,476.820274134,511.454855622,119.566065485,153.72954489999998,330.295658977,357.324185726,444.266440562,486.763343489,509.840839655,105.884814937,116.495840931,311.112189046,319.102338952,405.895417726,458.148088943,471.029916781,73.245727391,125.115524831,272.867302321,329.116185245,368.626358578,415.165716951,447.394894919,1655.9150390625,20.73889668782552,298.21067301432294,0.18785357475280762,13.0,7.0,2252.5664,2016-04-11,4,248.35503
1474,2022-07-28,2023-01-02,6.268433170979118,-75.62668893905092,POINT (828549.643122034 1185175.8238713336),0.0,0.89786292,4.616684059999999,13.9211460324,13.9211460324,14.6384856884,18.7542665884,27.131672164,91.508604384,152.18732674400002,209.959406265,387.169902541,13.998363888400002,19.040582158400003,32.825287844,123.968074964,156.17856037399997,213.123718215,391.117097821,14.967214958400003,18.769671568400003,44.496205374,127.933355124,184.020489614,213.145706625,411.485499231,6.530867125,7.872885753,50.06132894,121.22490421,175.31058422,236.328265001,409.946214517,7.872885752999999,13.52125566,67.7366174,124.82644132,185.688363161,257.011520411,431.935271827,1804.3896484375,23.44219970703125,200.175537109375,0.5792156855265299,8.0,7.0,1864.2473,2023-01-02,1,63.983105
1475,2023-01-07,2022-05-25,6.28770428399997,-75.540315315,POINT (838116.8060518376 1187280.2054444246),1.903598368,13.260781268,39.307205418,57.903460628000005,89.46868829799999,126.07643881,185.3350441,254.54888917,316.86284303,374.085937397,507.4294556395,732.4507443195,146.3442586,177.50330787,265.122585603,309.763850003,372.923969838,514.6391319859999,736.1278656950001,153.323558135,155.827149879,273.268815723,291.642698723,399.263124126,509.069463886,737.368062055,133.19128303999997,154.929491148,259.430592574,273.84812472100003,423.455132711,513.633553611,731.447410699,104.635337584,174.74606608,236.702314045,288.69481493499995,416.668523155,514.911272088,701.290687943,1933.126674107143,23.024139404296875,344.04847935267856,0.48061602456229074,4.0,4.0,1850.9341,2022-05-25,5,223.04109
1476,2023-01-14,2018-01-13,6.219630666999989,-75.634755621,POINT (827640.7112789763 1179779.5651160483),1.4575105499999998,10.50872129,79.72685533,79.72685533,126.07483939600002,182.904526199,224.214113199,224.214113199,317.697546606,360.340143626,492.962984953,696.1869777919999,182.027701199,215.079613299,233.212000286,316.456475226,358.118882026,485.195955793,691.6513517820001,145.484046959,145.484046959,218.96641155600005,253.666791086,298.31569419600004,441.350783013,673.269378513,145.484046959,145.484046959,234.272715866,265.83203628600006,346.38143628600005,443.486812403,686.136118733,99.136062893,99.136062893,192.6194963,229.24560062,363.304854247,415.10150777700005,656.5869259890001,1828.4728064903845,23.891920823317307,331.5613356370192,0.8797532595120944,8.0,7.0,1916.7314,2018-01-13,1,69.5031
1477,2023-01-14,2023-10-18,6.249679872000001,-75.629369286,POINT (828246.8058222167 1183102.0729757217),5.2543311,7.873139839999999,11.61905376,12.599282435,15.633794735,33.988114143,39.729326359,55.447673929,88.25838571899999,116.319822919,163.51644489199998,181.054315182,37.124856864,39.323007264000005,52.896347584,85.653916224,113.715353424,160.911975397,189.263529067,33.891448224,40.157514024,55.711601344,94.852917614,120.41074780399998,157.678566757,189.830908727,34.582525424,40.530926834,77.432424384,96.253747414,139.295488114,156.171493557,191.116459547,36.844009624,38.724495634,79.107003184,105.115138114,154.365062357,154.365062357,189.660701147,1680.2487571022727,15.83348222212358,33.36421342329545,0.0720049197023565,12.0,7.0,1916.7314,2023-10-18,10,239.29034
1478,2023-01-14,2024-03-16,6.27243348692662,-75.61519817438548,POINT (829822.9433014798 1185614.623279978),0.07238389,0.64150686,3.16419623,4.72496863,4.72496863,8.00299573,12.321659829999998,12.38735496,19.773497232000004,42.208520944,42.476371284,95.308325255,7.733770999999999,12.0524351,12.118130229999998,32.03363534100001,41.639397974000005,41.907248314,98.867280369,9.1574636,9.1574636,9.22315873,36.130074922000006,39.28672667400001,41.305148544,97.023545619,7.596691199999999,7.596691199999999,8.909623766,35.604096414000004,37.755748574,39.774170444000006,95.415250919,7.596691199999999,7.596691199999999,11.151793806,37.755748574,38.023598914,39.774170444000006,103.400398385,1712.50390625,25.829115647536057,120.13330078125,0.12703605798574594,9.0,7.0,1864.2473,2024-03-16,3,132.27205
1479,2023-01-14,2022-03-23,6.28426039599998,-75.541608793,POINT (837972.5651251595 1186899.632569557),9.3577013,37.43655365,43.01201884,78.8972516947,104.3596613647,111.4741010747,173.1852627737,235.95897775370003,280.7449201937,346.3194574372,350.7440136472,458.40006115720007,120.32183578,173.364324469,237.581004519,272.8124030825,319.6855340325,324.11009024249995,453.8786204125,117.544132429,182.612256359,232.762730289,287.3074833325,314.9608313625,320.8057627525,457.4652505035,109.34280523,143.92279614,191.818203804,272.9809428125,277.2135046125,279.2133265325,436.1334123935,118.66781168,134.764765428,183.167240294,247.5185331425,251.9430893525,268.3843920825,415.8116648035,1934.4998372395833,34.3194325764974,256.2884521484375,0.8672914505004883,4.0,8.0,1850.9341,2022-03-23,3,148.31581
1480,2023-01-15,2019-08-27,6.29222071200002,-75.609793194,POINT (830427.6635553387 1187801.8619137544),0.13735873,0.13735873,0.13735873,0.13735873,11.79879595,21.79574312,21.79574312,47.20396898,96.14278887,195.22439661,250.825840586,420.046915843,21.79574312,21.79574312,54.26684978,120.68650452,220.28778251,254.26867508600003,453.288678213,21.79574312,37.261855,89.01873649,167.28435527000002,239.901362846,265.977055746,489.621021863,21.79574312,37.261855,93.11904306,177.94755204999998,248.767169716,266.025745712,534.060060693,25.87453598,34.08776176,84.75546985,183.83707759,239.027044636,254.638426692,550.799415133,1990.2423650568182,18.86170265891335,145.6566495028409,0.7723341855135831,12.0,5.0,1864.2473,2019-08-27,8,141.61206
1481,2023-01-14,2019-03-21,6.2896573,-75.6106246,POINT (830334.8016784238 1187518.5504504992),2.4690638600000003,26.86156826,27.120079089,27.120079089,51.68685981,66.1547081,96.28902244,241.501721055,256.619575105,265.393161125,276.549031386,322.480384556,50.06112928,108.176077964,218.401814615,232.586740425,247.116146156,253.767701006,297.374216446,53.8531317,158.87970148,220.801927776,232.601806696,246.85763532700005,255.737881577,297.115705617,81.664342304,161.47695458,226.195886286,233.425663126,246.857635327,257.193406807,297.12652007299994,141.31615428,184.301345806,213.691348966,222.464934986,230.247441297,241.038256907,282.80550381300003,1949.184849330357,21.446585518973215,68.90634155273438,0.24761652946472168,12.0,8.0,1864.2473,2019-03-21,3,132.27205
