,fecha_no,latitud,longitud,geometry,cp1,cp3,cp5,cp7,cp10,lp15_cp1,lp20_cp1,lp30_cp1,lp40_cp1,lp50_cp1,lp60_cp1,lp90_cp1,lp15_cp3,lp20_cp3,lp30_cp3,lp40_cp3,lp50_cp3,lp60_cp3,lp90_cp3,lp15_cp5,lp20_cp5,lp30_cp5,lp40_cp5,lp50_cp5,lp60_cp5,lp90_cp5,lp15_cp7,lp20_cp7,lp30_cp7,lp40_cp7,lp50_cp7,lp60_cp7,lp90_cp7,lp15_cp10,lp20_cp10,lp30_cp10,lp40_cp10,lp50_cp10,lp60_cp10,lp90_cp10,DEM_mean,slope_mean,aspect_mean,nhd_mean,geo,cober,pre_anual,fecha,mes,pre_mensual
2152,2023-04-21,6.181410085723314,-75.65246095436733,POINT (825668.0102072592 1175557.09241478),6.44311343,15.662620571400002,43.4517697914,46.7874881414,71.14391071,79.75019792900001,94.055434845,157.148915235,271.91367007400004,334.761884166,374.446760666,461.00736142000005,80.828878324,109.3044865,161.266091224,270.471418981,347.662246161,368.582124471,454.800783015,61.332265038,105.83703129,147.667592125,268.06132092099995,324.81268135100004,358.969046781,447.63481634499993,63.99174078,112.96644655999998,159.723503985,286.214557551,318.35573665100003,354.48563588099995,446.607855035,72.18788116,92.24663929,183.221310229,267.538176321,302.466189421,328.617690685,448.842033091,1834.6576704545455,30.913807262073863,67.32823597301136,0.39709238572554156,14.0,6.0,2044.8639,2023-04-21,4,222.04674
2153,2024-05-14,6.348240373242728,-75.6991195357566,POINT (820559.0402900588 1194029.22208506),0.36594012,7.85230943,32.861070319,63.25912343900001,88.798504474,169.62349104999998,239.942284051,383.480837825,418.762968391,454.797820736,470.994589296,505.88227940100006,203.302894111,292.11734495100006,377.426727025,434.681752391,449.217144356,464.940478496,499.828168601,200.159734152,297.72791794499994,353.229789985,420.907659106,427.582372666,443.1014755110001,475.734522182,211.045599002,310.145250605,321.475175305,391.190066426,408.988926776,412.679113231,444.252230602,243.106642345,298.60851438500003,327.252338795,368.644078896,386.122265856,389.812452311,422.502192282,1863.177734375,35.85692269461496,253.83611188616072,0.16956959451947892,2.0,0.0,1774.0905,2024-05-14,5,237.96407
2154,2023-05-23,6.182958481629447,-75.64894269223565,POINT (826058.0498460993 1175727.23650186),5.62614605,30.838308104,32.605438004,58.985552084,67.47540289999999,106.69155261,106.69155261,182.33171284,240.926875547,275.52760635650003,329.5308524495,527.0263632325,82.57932038999999,105.30956576,164.97715546599997,229.0258681165,253.3177807665,311.5610107325,526.0623960125,79.55913129000001,145.5819219,170.520961306,229.7917706365,270.8342930065,322.6099657255,526.4160707725,52.72137892,119.91923549,169.667774912,204.9858730965,261.6945320895,303.1824575255,512.8100628225,109.73207662,118.45639864,165.902546302,209.0416004665,266.2813857995,313.89419688550004,508.0118942875,1804.578515625,8.548626708984376,117.5819091796875,0.4170417308807373,14.0,7.0,2023.1007,2023-05-23,5,256.6499
2155,2022-03-06,6.20807040799973,-75.50005299341112,POINT (842549.58499818 1178458.73887282),25.418110360000004,32.87880956,64.106891084,109.499757339,111.780339039,149.48670889,152.47606908999998,210.81904488,222.669760485,231.761152357,303.66726862100006,386.96923569500007,137.27146724,140.56431845,201.11102659,219.051913009,237.202442882,311.805161981,399.906152589,108.8079448,121.19779987,170.6409185,188.581804919,219.243539618,288.314610011,383.874816429,63.59148578,92.47681752,125.288662004,143.527321542,186.184276838,248.12088098100003,341.762459439,72.20026039,122.570536954,133.498533615,142.589925487,214.496041751,263.752162901,359.09685215900004,2561.500300480769,11.88958505483774,282.85366586538464,0.6933155059814453,3.0,3.0,1834.1263,2022-03-06,3,126.17329
2156,2021-06-08,6.264153792269467,-75.54328131139,POINT (837781.2130754595 1184675.8957845),30.95326296,43.01552743999999,60.21738238,108.16215508,153.8449683387,180.33382126,216.43209743,339.459262376,488.907850357,522.4058933270001,568.5122294299999,906.417854478,184.63088373,262.27923339999995,346.896681496,499.852776427,515.5985506269999,571.22723316,928.399025358,170.9208194,259.6680367409999,353.686670876,489.104187767,517.819567997,587.959845117,918.837795028,174.88614299,223.500607861,374.784533936,449.608438487,472.448738417,589.620368217,882.290564672,154.14053456160002,183.384884261,343.73775299700003,389.5596324887,434.7982892744,530.5557752770001,832.6940514400001,1789.6929086538462,16.187962458683895,294.65042818509613,0.4298285704392653,13.0,7.0,1850.9341,2021-06-08,6,148.3149
2157,2021-03-25,6.234052540202132,-75.48419297549921,POINT (844313.0036470203 1181328.19590898),16.9537402,45.67036499,103.2444804545,143.01029669550002,219.4869207795,257.4464777,310.82390429,347.32418105,385.022722728,406.100979143,416.276360613,590.6553881963999,271.5696422418,293.9410423418,337.321254736,359.415507294,379.9191228658,390.7922804824,571.0279150824,221.0273702018,243.6988396918,296.66007747180004,309.5044220768,323.7637296858,334.0914102424,520.5835797824,193.6140943518,214.8313257418,254.71780232180004,269.1437778168,280.68521944580004,291.309610502,479.0049363105,123.4942987618,144.3381188318,182.493692222,207.055606602,218.891193912,225.886289862,407.7011325005,2485.2308238636365,11.34124062278054,80.53300892223011,0.1666142615404996,1.0,1.0,1834.1263,2021-03-25,3,126.17329
2158,2021-06-11,6.278867542740816,-75.5138922546382,POINT (841038.8680871805 1186294.56385618),0.0,78.68234333,106.00486293,106.2720468,162.40338472,226.70527064,269.795492715,357.686168365,525.7643907050001,605.128467434,634.3178389540001,1017.375997739,169.40152481,197.643624385,304.259684035,473.270576142,532.976599104,583.574104354,975.774684389,164.077929005,208.050052195,282.103430015,472.654411347,503.036272524,551.688503584,960.754908989,163.52344591500002,236.71050426500005,329.221409605,486.238048474,524.782748634,579.9894464239999,982.849859269,155.68668834,200.060119124,361.424500134,446.131958114,473.832380834,560.9987454520001,950.116295929,2508.826622596154,8.17311037503756,121.15160193810097,0.7872659243070163,1.0,9.0,1850.9341,2021-06-11,6,148.3149
2159,2022-04-26,6.236681815328918,-75.5111964995811,POINT (841324.5309212597 1181627.09768358),10.48661392,17.92171597,49.339253894,82.634782296,98.776036836,96.744790996,158.913880572,281.7000181678,331.5431469278,391.478062459,502.427157322,607.704914702,104.583677832,172.680747682,281.3900716878,348.2168070878,411.176560179,504.487291132,604.529785492,103.558105396,166.533683656,263.7581241178,335.35625391199994,401.799236769,490.388797956,584.810213556,97.6573063578,163.8529099178,236.4268263878,306.267778709,398.1460285152,476.3574111052,551.6179841222,116.1037351478,192.3889321578,226.8884925878,296.554467249,412.59412638900005,462.296967299,535.7498531392,2349.619891826923,39.58435528094952,262.6120042067308,0.7974587954007663,1.0,1.0,1969.9814,2022-04-26,4,212.92358
2160,2023-05-27,6.35035664213667,-75.71346981418002,POINT (818971.4141544998 1194268.34350474),20.30901226,43.28546456,54.61833269,87.94630113,105.32651063,114.43691384,127.9031557895,197.2692449795,265.74268724850003,296.4712207525,326.3376244035,513.731594009,105.384549527,105.384549527,180.6986353695,255.0732641225,279.80176187250004,316.3078368035,488.714764869,93.47363542600002,93.473635426,170.7390124065,246.7360158505,269.85839552050004,307.6623141615,477.938482797,62.51522689,79.22782452000001,153.83242654949998,228.67359654350005,243.2333310835,279.2317330745,466.93973518,46.67267179,95.17921002,144.34281733950002,213.9191334835,234.1182983045,270.56019758850005,455.26027872,1370.2868430397727,47.04476651278409,284.01864346590907,0.6604068062522195,9.0,1.0,1653.7441,2023-05-27,5,203.86153
2161,2023-01-12,6.200532883017819,-75.48951278449269,POINT (843714.2103986592 1177621.81390394),6.730208919999999,10.70772654,24.37376646,45.503410728000006,59.603094188,58.43257229000001,60.22619849,79.42920014,97.81895452,161.5524555,243.895758986,496.016185115,56.03213582000001,56.29903204,81.72007012,102.34196951,184.22269588,256.211438946,491.083513115,44.42226149,44.68915771,74.97642893,111.04044697,176.30219707600003,287.553254226,484.933352315,22.185107290000005,29.07677471,52.739274730000005,107.18643547,159.749845656,271.780279921,487.692120435,8.07749377,20.6413273995,44.91023005,101.79715425,152.846623266,279.283630765,507.858128642,2596.1178385416665,10.947184244791666,233.10542805989584,0.2948852976163228,1.0,0.0,2052.08,2023-01-12,1,74.51014
