fecha_no,latitud,longitud,geometry,cp1,cp3,cp5,cp7,cp10,lp15_cp1,lp20_cp1,lp30_cp1,lp40_cp1,lp50_cp1,lp60_cp1,lp90_cp1,lp15_cp3,lp20_cp3,lp30_cp3,lp40_cp3,lp50_cp3,lp60_cp3,lp90_cp3,lp15_cp5,lp20_cp5,lp30_cp5,lp40_cp5,lp50_cp5,lp60_cp5,lp90_cp5,lp15_cp7,lp20_cp7,lp30_cp7,lp40_cp7,lp50_cp7,lp60_cp7,lp90_cp7,lp15_cp10,lp20_cp10,lp30_cp10,lp40_cp10,lp50_cp10,lp60_cp10,lp90_cp10
2019-01-01,6.224100488605799,-75.60971443689152,POINT (-75.60971443689152 6.224100488605799),0.0,0.0,0.0,0.0,0.0,2.1660514,18.0450331,37.10570314,136.916496844,186.638099057,323.298824534,616.813207273,11.6077951,18.0450331,41.647651620000005,147.412513447,201.222314397,340.612724994,637.4825250629999,18.0450331,22.91867062,59.869215139999994,163.18002591699997,201.40220472699997,340.612724994,675.405998803,18.0450331,31.85291862,91.028219154,166.20479178699998,227.15444158699998,340.612724994,726.1237577029999,22.91867062,33.14781508,135.505505844,184.422741267,286.113269534,357.68681856399996,726.1237577029999
2016-06-02,6.203951689373022,-75.50128251522422,POINT (-75.50128251522422 6.203951689373022),6.377894908,33.485383275,41.299801151000004,85.468758181,102.53425015600001,120.934018185,125.33020611,355.32949825000003,486.15779015100003,529.37637341,709.551374316,969.4002015430001,94.62644054999998,179.29050352000002,338.55958316,461.903439157,517.735766715,686.43052985,942.4148343730001,88.07096046400001,247.871220594,376.47572342,456.502926941,551.486779889,766.60783099,935.805823491,52.081039143999995,244.62325306399998,367.947271355,419.722959595,514.406331069,733.70411423,898.023586541,186.391141039,246.444884089,387.55821791999995,401.39441911899996,593.164191585,713.041891413,878.7449374319999
2016-06-11,6.238437193714942,-75.55293621392045,POINT (-75.55293621392045 6.238437193714942),8.633865866,15.298600006000001,42.405979110000004,53.704355607,91.54681596500001,174.142080163,192.618865653,210.42451437799997,350.80958762299997,466.39874182299997,542.638738571,730.7646202660001,183.225787709,190.71617491400002,286.240294763,366.873731982,459.85536250200005,561.224774477,747.819601238,159.200422835,174.37668825999998,278.154779205,361.84331131299996,435.199765938,543.39153966,727.84001941,149.123497305,166.943692725,283.625391578,401.994793588,458.83075750700004,545.7269523340001,736.624873545,130.50895071500003,131.93512811600002,268.301860308,387.897179921,466.84551439,536.168628746,707.6017680150001
2017-12-31,6.313972588594031,-75.62288076817963,POINT (-75.62288076817963 6.313972588594031),5.583013,40.82418427,66.07277255,74.29768411,74.29768410999999,69.05969091,85.21629934,144.57532065499998,182.907700665,277.220937876,309.688406042,476.912807836,38.60948625100001,95.876633481,148.06653832199999,186.627548999,258.49220817699995,296.854230302,498.702383015,16.520288835,70.31351475,123.92919463199999,183.387793919,235.18768234699996,306.793162026,474.504867633,48.01312833000001,70.86574582,117.73180035099998,206.889036119,236.358854797,311.667582635,471.220131273,62.08860319000001,74.571610945,121.08785549799998,208.822324099,237.328981873,330.985641523,506.95428008299996
2018-09-18,6.329629670763604,-75.70893778379398,POINT (-75.70893778379398 6.329629670763604),0.0,54.971874979999996,61.86942562,66.318454646,76.441840546,194.054497426,214.25841016599998,250.876229536,288.93784932799997,400.8978148553,462.5656920253,621.083899953,139.78439862,179.86074016,196.27392823,234.335548022,365.8659081193,410.48116769930004,566.6732405232999,153.0127971,182.33710532,223.391415462,278.244093702,373.5975553493,406.9497993093,560.5185883432999,163.58442431999998,178.50871844,222.61939468199998,301.865249262,387.10316587930004,401.8769577293,578.7854035333,168.60450424,173.04721277,213.959635182,320.94186490929997,386.7766636093,398.12818666,586.6118698133
2017-10-04,6.23337874279237,-75.50290007887332,POINT (-75.50290007887332 6.23337874279237),9.30563886,32.289108393999996,66.98000182800001,68.22349104599999,72.239444631,98.450639938,154.76850835800002,263.192286077,338.63186900200003,384.883893467,493.8135903809999,572.641202752,110.43175334800002,152.331788508,244.98357467,319.17623759699995,387.64645080700006,472.678985651,558.6664783188,92.476122502,146.707189733,211.828796384,295.222904041,378.366012801,438.772611285,525.7217811128,115.95472321000001,180.247687851,242.487315992,315.610881339,397.31577651299995,442.11460522799996,546.4770371274001,142.44448864700001,201.204549762,275.516125084,323.418912015,402.522684659,443.21611712719994,607.3143492934
2017-12-10,6.178600828214211,-75.54468170906793,POINT (-75.54468170906793 6.178600828214211),21.35360437,34.46526385,38.36334765,39.24227295,63.454570187,71.272079796,103.89935911,223.37976862099998,287.470231538,369.03253326,402.764680572,674.24100392,58.98447213200001,129.75956926650002,210.91850660100002,301.60698047099993,355.73018383,395.166410947,716.136693025,70.871665146,172.33313590699998,213.70001927299998,314.339947509,361.02220007100004,395.918485379,740.272960194,115.1314501791,182.51558475500002,230.290875007,333.40359061500004,371.09582817800003,424.747844301,753.123535534,150.2714834509,170.180506585,242.703807428,327.480814878,360.621866706,426.06126067800005,738.220989592
2018-12-22,6.208719173308773,-75.52144226730195,POINT (-75.52144226730195 6.208719173308773),2.11998029,2.71313619,2.71313619,2.71313619,8.976785070000002,7.84546037,23.955917479999997,102.41554708999999,130.33671988999998,192.53673033500002,233.18255881799996,484.966046464,22.743610989999997,38.62309726,112.75333105999998,131.966928835,198.86659429499997,252.41828862799997,485.31163755399996,22.743610989999997,47.81129304,116.78929182,133.441442265,199.694660135,265.004054388,502.087549944,30.125850959999998,66.0577825,120.87039155999999,151.873241165,199.694660135,280.83282153799996,507.04145965399994,42.64226395,84.98506766,121.98238465,184.01766530499998,211.845608488,283.185452918,534.960502354
2017-09-24,6.287546308762683,-75.64721941011008,POINT (-75.64721941011008 6.287546308762683),25.89173357,55.0281239663,67.3156899963,90.70586090629999,134.2135131063,184.14554830929998,225.2426929393,360.7973107123,393.9515918213,503.36862546230003,510.4438233013,687.400477276,182.43664150799998,201.122159408,332.648369176,384.75161562799997,479.040321156,485.20754915599997,678.493835641,185.030201858,195.94461119800002,331.337380958,397.578355176,467.19806062600003,473.381235796,701.997562841,174.491352073,254.25685849300004,325.894778763,408.489707661,454.627780971,474.53908131099996,698.451192751,130.650851753,241.18014224299998,287.291719973,368.137635501,404.457263161,455.610544361,690.3193333510001
2018-10-31,6.208768276598106,-75.56377027724848,POINT (-75.56377027724848 6.208768276598106),10.38953933,10.79541481,10.79541481,17.12974455,39.849559876,110.822058508,146.90934444500002,288.164611565,378.560708725,467.553197653,573.246360073,727.667313833,113.844214018,174.884765465,320.278394435,405.39118392800003,476.169686653,574.583842163,740.458725223,125.732432445,203.800215105,348.50549531499996,415.291208285,512.280906443,595.932064263,750.354510923,163.346655065,247.972866475,342.25359687499997,442.10579359300004,555.781340693,598.248887673,775.749069403,176.454693475,250.456035085,348.427654035,440.13464644299995,537.560135333,589.749758053,764.1378643129999
