fecha_ho_1,fecha_no,latitud,longitud,geometry
2022-10-20,2017-03-25,6.249153262999981,-75.625464498,POINT (-75.625464498 6.249153262999981)
2024-07-01,2016-09-01,6.265433388832582,-75.61442050660636,POINT (-75.61442050660636 6.265433388832582)
2024-06-27,2021-09-17,6.207613948423543,-75.61102127710888,POINT (-75.61102127710888 6.207613948423543)
2024-06-28,2024-01-07,6.26660555,-75.62980022,POINT (-75.62980022 6.26660555)
2024-06-19,2017-08-15,6.270814125066566,-75.63108629392512,POINT (-75.63108629392512 6.270814125066566)
2024-06-16,2020-08-10,6.216338694895902,-75.60359524307123,POINT (-75.60359524307123 6.216338694895902)
2023-05-29,2018-07-27,6.2490532,-75.6368111,POINT (-75.6368111 6.2490532)
2021-05-17,2020-06-26,6.253717757,-75.629275996,POINT (-75.629275996 6.253717757)
2022-04-03,2024-10-01,6.353408526000011,-75.702042332,POINT (-75.702042332 6.353408526000011)
2021-10-15,2018-04-13,6.294572897000019,-75.595869404,POINT (-75.595869404 6.294572897000019)
2022-04-05,2023-05-17,6.272073299000001,-75.612308502,POINT (-75.612308502 6.272073299)
2024-05-15,2023-12-30,6.219007258975214,-75.63524520078055,POINT (-75.63524520078055 6.219007258975214)
2024-05-10,2019-03-30,6.271573248197731,-75.53960370117666,POINT (-75.53960370117666 6.271573248197731)
2022-06-02,2016-06-15,6.21337787599998,-75.55969237,POINT (-75.55969237 6.21337787599998)
2022-07-26,2021-04-01,6.25338330699998,-75.625494619,POINT (-75.625494619 6.25338330699998)
2024-05-10,2022-10-17,6.30128043,-75.58539697,POINT (-75.58539697 6.30128043)
2022-10-24,2020-09-07,6.239376672999981,-75.537574392,POINT (-75.537574392 6.239376672999981)
2024-05-14,2020-07-16,6.29472696,-75.58045582,POINT (-75.58045582 6.29472696)
2024-05-07,2016-11-11,6.181882461275121,-75.6508853564801,POINT (-75.6508853564801 6.181882461275121)
2024-05-04,2021-05-15,6.24289971,-75.54203293,POINT (-75.54203293 6.24289971)
2022-10-24,2019-01-25,6.284064450659108,-75.5419801652787,POINT (-75.5419801652787 6.284064450659108)
2021-10-23,2021-01-06,6.27200092099997,-75.541130769,POINT (-75.541130769 6.27200092099997)
2022-10-24,2024-10-03,6.296451494,-75.541619224,POINT (-75.541619224 6.296451494)
2024-05-04,2021-09-26,6.26238696,-75.55449073,POINT (-75.55449073 6.26238696)
2022-06-02,2018-11-01,6.2146985310000105,-75.559412289,POINT (-75.559412289 6.21469853100001)
2022-04-05,2021-09-30,6.28588445299999,-75.541635863,POINT (-75.541635863 6.285884453)
2022-08-01,2020-09-09,6.286515915999982,-75.551660313,POINT (-75.551660313 6.286515915999982)
2022-06-05,2022-10-28,6.2690506129999894,-75.537404026,POINT (-75.537404026 6.269050612999989)
2021-10-22,2021-04-04,6.27004672800001,-75.539623383,POINT (-75.539623383 6.27004672800001)
2021-10-27,2017-06-12,6.282769845000019,-75.538024319,POINT (-75.538024319 6.282769845000019)
2022-10-28,2023-07-11,6.254181085706203,-75.63191188292154,POINT (-75.63191188292154 6.254181085706203)
2021-10-31,2024-07-08,6.295032902,-75.544536758,POINT (-75.544536758 6.295032902)
2022-10-28,2021-10-01,6.239376672999981,-75.537574392,POINT (-75.537574392 6.239376672999981)
2024-04-22,2020-04-15,6.2691588,-75.5473213,POINT (-75.5473213 6.2691588)
2022-10-29,2019-01-17,6.2269892859999905,-75.523668151,POINT (-75.523668151 6.226989286)
2024-04-21,2022-06-24,6.2696192293194,-75.5398409474851,POINT (-75.5398409474851 6.2696192293194)
2022-08-05,2021-03-28,6.300723869000021,-75.547047532,POINT (-75.547047532 6.300723869000021)
2022-08-02,2017-08-04,6.23612134000001,-75.532031411,POINT (-75.532031411 6.23612134)
2022-02-06,2022-05-22,6.27468717,-75.602530299,POINT (-75.602530299 6.27468717)
2021-11-04,2019-09-14,6.269541762000021,-75.54284139700002,POINT (-75.54284139700002 6.269541762000021)
2021-05-10,2016-10-24,6.2715009,-75.55470091,POINT (-75.55470091 6.2715009)
2022-06-18,2021-01-31,6.244188,-75.5422,POINT (-75.5422 6.244188)
2022-08-05,2019-02-02,6.253234464999989,-75.631736756,POINT (-75.631736756 6.253234464999989)
2022-06-15,2017-11-09,6.294882742316037,-75.59158516686941,POINT (-75.59158516686941 6.294882742316037)
2021-08-16,2019-09-11,6.22760491999998,-75.53706698,POINT (-75.53706698 6.22760491999998)
2022-11-08,2021-08-14,6.2105764,-75.5524157,POINT (-75.5524157 6.2105764)
2021-11-13,2023-08-19,6.294634140000029,-75.539938888,POINT (-75.539938888 6.294634140000029)
2021-11-13,2021-06-05,6.2931868,-75.541724,POINT (-75.541724 6.2931868)
2022-03-05,2024-07-19,6.2780897790000285,-75.607312859,POINT (-75.607312859 6.278089779000029)
2021-11-13,2019-01-17,6.29621017599999,-75.539886544,POINT (-75.539886544 6.296210176)
2023-11-01,2022-12-06,6.300944716000001,-75.54296297,POINT (-75.54296297 6.300944716)
2022-06-12,2021-01-26,6.244465685918669,-75.54202256905037,POINT (-75.54202256905037 6.244465685918669)
2023-11-01,2024-02-19,6.284527638999981,-75.539514839,POINT (-75.539514839 6.284527638999981)
2022-06-25,2016-11-27,6.2515991650000196,-75.538250939,POINT (-75.538250939 6.25159916500002)
2022-08-06,2019-01-24,6.236057883999991,-75.536104367,POINT (-75.536104367 6.236057884)
2022-03-02,2016-11-21,6.23514672499999,-75.527941752,POINT (-75.527941752 6.235146725)
2022-06-14,2018-04-06,6.264529,-75.612807,POINT (-75.612807 6.264529)
