,id,fecha_hora,nombre_del,entidad,cargo,fecha_ho_1,incertidum,latitud,longitud,incertid_1,tipo_movim,origen,municipio,corregimie,vereda_bar,sector,direccion,muertes,heridos,desapareci,otras_afec,fuente,observacio,validado,DEM_mean,slope_mean,aspect_mean,nhd_mean,geo,cober,pre_anual,fecha,mes,pre_mensual
364,620,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/04/07 03:00:00.000,Baja,6.248957734501908,-75.62994245091355,Media,Deslizamiento,Lluvia,Medellín,Comuna 13 San Javier,Nuevos Conquistadores,,Calle 36 C # 118 - 40 Interior 110,0.0,0.0,,,DAGRD,,1,1726.5113636363637,27.549055619673297,33.046533757990055,0.5868416699496183,8.0,7.0,1916.7314,2022-04-07 03:00:00,4,212.7518
365,621,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/04/04 15:50:00.000,Baja,6.25287645499998,-75.626870079,Media,Deslizamiento,Lluvia,Medellín,Comuna 13 San Javier,Nuevos Conquistadores,,Carrera 115 B # 39 BF - 31,0.0,0.0,,,DAGRD,,1,1601.3528645833333,11.031595865885416,159.2387898763021,0.8735533555348715,8.0,7.0,1864.2473,2022-04-04 15:50:00,4,201.95624
366,622,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/04/07 09:00:00.000,Baja,6.17262809504016,-75.65150013398444,Media,Deslizamiento,Lluvia,Medellín,Corregimiento 80 San Antonio de Prado,Área de Expansión San Antonio de Prado,,Calle 56 Sur # 70 A - 127,0.0,0.0,,,DAGRD,,1,1862.3858173076924,16.13338881272536,189.43934044471155,0.804422011742225,14.0,0.0,2044.8639,2022-04-07 09:00:00,4,222.04674
367,625,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/04/07 00:00:00.000,Media,6.222757602769646,-75.56699381496271,Media,Deslizamiento,Lluvia,Medellín,Comuna 14 El Poblado,Castropol,,Calle 24 # 39 - 91,0.0,0.0,,,DAGRD,,1,1532.9338942307693,35.94292508638822,271.7284405048077,0.1371433551494892,9.0,4.0,1968.7611,2022-04-07 00:00:00,4,208.94077
368,626,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2021/12/27 03:00:00.000,Baja,6.267503538727102,-75.62889958512365,Media,Deslizamiento,Lluvia,Medellín,Corregimiento 60 San Cristóbal,La Loma,,Carrera 121 C # 48 CC - 27 Interior 132,0.0,0.0,,,DAGRD,,1,1768.0597098214287,33.63747297014509,287.26846749441967,0.549670832497733,8.0,8.0,1864.2473,2021-12-27 03:00:00,12,93.477066
369,627,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/04/07 19:00:00.000,Baja,6.273088820583758,-75.5395398304488,Media,Deslizamiento,Lluvia,Medellín,Comuna 3 Manrique,La Cruz,,Calle 81 # 24 E - 20 Interior 119,0.0,0.0,,,DAGRD,,1,2013.735440340909,29.386474609375,290.1585138494318,0.9238397424871271,4.0,7.0,1850.9341,2022-04-07 19:00:00,4,208.7147
370,628,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/04/12 03:00:00.000,Baja,6.268885999288716,-75.61677669134545,Media,Deslizamiento,Lluvia,Medellín,Corregimiento 60 San Cristóbal,La Loma,,Calle 48 DD # 99 F - 149 126,0.0,0.0,,,DAGRD,,1,1692.8590198863637,22.471448031338777,138.92939897017047,0.03290893001989885,8.0,5.0,1864.2473,2022-04-12 03:00:00,4,201.95624
371,629,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/02/28 00:00:00.000,Media,6.272313811751602,-75.60296399321068,Media,Deslizamiento,Lluvia,Medellín,Corregimiento 60 San Cristóbal,Área de Expansión San Cristóbal,,Carrera 86 C # 53 C - 112 Sector Punta Luna 3,0.0,0.0,,,DAGRD,,1,1647.6154296875,20.139146423339845,137.7546630859375,0.896700382232666,2.0,8.0,1864.2473,2022-02-28 00:00:00,2,74.083176
372,630,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/04/11 07:00:00.000,Baja,6.26175788199998,-75.555710478,Media,Deslizamiento,Lluvia,Medellín,Comuna 3 Manrique,Manrique Central No.2,,Carrera 45 # 66 - 48 Torre 4,0.0,0.0,,,DAGRD,,1,1557.56103515625,1.7731703122456868,302.9205322265625,0.1697995662689209,13.0,7.0,1999.781,2022-04-11 07:00:00,4,210.7456
373,632,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/04/08 16:30:00.000,Baja,6.200383243912778,-75.59478951130004,Media,Deslizamiento,Lluvia,Medellín,Comuna 15 Guayabal,La Colina,,Calle 11 C Sur # 55 B - 18,0.0,0.0,,,DAGRD,,1,1586.7296549479167,16.20501708984375,213.029052734375,0.9274214108784994,8.0,8.0,2252.5664,2022-04-08 16:30:00,4,248.35503
